date,price,tether
6/4/2019,7676.259381,3156792632
6/5/2019,7789.784567,3199628861
6/6/2019,7802.214091,3238758301
6/7/2019,8000.593036,3245444029
6/8/2019,7934.887014,3253476584
6/9/2019,7645.45522,3244148455
6/10/2019,8022.100575,3291720602
6/11/2019,7918.028966,3320744307
6/12/2019,8175.485948,3370364365
6/13/2019,8238.658665,3429338420
6/14/2019,8700.802529,3452723006
6/15/2019,8858.555216,3453417198
6/16/2019,8979.736976,3480818760
6/17/2019,9333.18734,3536817152
6/18/2019,9081.898183,3532785162
6/19/2019,9279.330249,3541241440
6/20/2019,9533.029962,3553381638
6/21/2019,10227.69101,3577742156
6/22/2019,10668.42611,3511130520
6/23/2019,10825.64742,3514627522
6/24/2019,11025.53271,3569269583
6/25/2019,11760.87674,3524447289
6/26/2019,12897.30716,3514135797
6/27/2019,11143.21986,3513672919
6/28/2019,12365.81556,3576788071
6/29/2019,11871.5461,3578776071
6/30/2019,10748.15062,3567938932
7/1/2019,10574.2535,3589776406
7/2/2019,10829.12309,3608634114
7/3/2019,11980.67215,3647581662
7/4/2019,11154.32091,3656729546
7/5/2019,10988.52988,3688065732
7/6/2019,11237.17166,3694568461
7/7/2019,11475.35243,3720510299
7/8/2019,12310.07514,3772035587
7/9/2019,12571.37463,3842507141
7/10/2019,12100.24244,3841530949
7/11/2019,11350.36126,3870546811
7/12/2019,11802.59684,3898660503
7/13/2019,11384.49399,3911710739
7/14/2019,10197.88569,3919217433
7/15/2019,10851.00304,3944335496
7/16/2019,9419.806126,3952620007
7/17/2019,9709.478256,3975329159
7/18/2019,10647.83487,3988253759
7/19/2019,10538.53559,4023328009
7/20/2019,10761.18738,4022765385
7/21/2019,10591.29947,4025379042
7/22/2019,10327.95039,4022963847
7/23/2019,9848.972543,4020471519
7/24/2019,9772.682654,4023792515
7/25/2019,9883.300757,4020582194
7/26/2019,9848.881511,4024607660
7/27/2019,9471.774332,4023536850
7/28/2019,9532.873484,4023536850
7/29/2019,9501.536914,4016689991
7/30/2019,9591.336306,4026436807
7/31/2019,10084.67584,4034514095
8/1/2019,10405.61904,4027065142
8/2/2019,10533.13728,4022474976
8/3/2019,10817.9033,4030487634
8/4/2019,10977.3958,4038500291
8/5/2019,11801.63803,4039649779
8/6/2019,11464.33676,4035852280
8/7/2019,11966.97841,4039892173
8/8/2019,11993.74618,4038071165
8/9/2019,11870.50118,4033316702
8/10/2019,11298.44872,4027291999
8/11/2019,11568.8529,4033316702
8/12/2019,11384.47732,4032608947
8/13/2019,10858.364,4026544813
8/14/2019,10019.63869,4034348929
8/15/2019,10301.60815,4038472336
8/16/2019,10358.69343,4043971626
8/17/2019,10213.37923,4039564094
8/18/2019,10321.53365,4043607702
8/19/2019,10918.78611,4043607702
8/20/2019,10756.95767,4042596800
8/21/2019,10129.56713,4039823035
8/22/2019,10109.67303,4042896405
8/23/2019,10419.92108,4049066881
8/24/2019,10156.8219,4049107372
8/25/2019,10142.8087,4049107372
8/26/2019,10362.48276,4047993161
8/27/2019,10173.17005,4051389926
8/28/2019,9723.440131,3989742392
8/29/2019,9487.342174,4001679333
8/30/2019,9584.367421,4007307426
8/31/2019,9608.425602,4006867760
9/1/2019,9768.581483,4006827682
9/2/2019,10388.39959,4006589594
9/3/2019,10627.30718,4025760607
9/4/2019,10583.89919,4027733229
9/5/2019,10578.71442,4039431996
9/6/2019,10331.27594,4052987532
9/7/2019,10499.95668,4062511672
9/8/2019,10408.49664,4072699909
9/9/2019,10317.4228,4077538712
9/10/2019,10100.59576,4090442074
9/11/2019,10162.26747,4088111804
9/12/2019,10424.68319,4092253652
9/13/2019,10371.40495,4095117943
9/14/2019,10370.58208,4112107637
9/15/2019,10311.60982,4111035869
9/16/2019,10265.2924,4108044456
9/17/2019,10192.28165,4110221720
9/18/2019,10159.19783,4109728754
9/19/2019,10276.87957,4108044456
9/20/2019,10170.33077,4105579629
9/21/2019,9980.444262,4105743951
9/22/2019,10030.61275,4107880134
9/23/2019,9691.626473,4106401238
9/24/2019,8532.3875,4124024749
9/25/2019,8437.025899,4111002248
9/26/2019,8061.030087,4108044456
9/27/2019,8196.623798,4116835671
9/28/2019,8221.752889,4113302753
9/29/2019,8055.047347,4107140686
9/30/2019,8306.361385,4114206523
10/1/2019,8323.571,4120779394
10/2/2019,8383.871143,4120286429
10/3/2019,8241.392151,4113015190
10/4/2019,8158.373849,4111741696
10/5/2019,8148.545201,4108044456
10/6/2019,7863.728512,4108044456
10/7/2019,8209.470273,4112152501
10/8/2019,8187.610083,4107592571
10/9/2019,8590.288398,4112193581
10/10/2019,8588.535216,4112152501
10/11/2019,8269.852528,4112152501
10/12/2019,8309.397522,4118519969
10/13/2019,8284.536655,4118068085
10/14/2019,8355.19108,4108126617
10/15/2019,8162.147567,4115808660
10/16/2019,7998.997458,4110303881
10/17/2019,8076.608717,4112193581
10/18/2019,7956.829423,4116178384
10/19/2019,7961.788243,4116465947
10/20/2019,8234.288247,4118602130
10/21/2019,8219.545022,4116260545
10/22/2019,8026.460961,4108003376
10/23/2019,7474.996839,4116260545
10/24/2019,7432.10399,4118519969
10/25/2019,8666.324972,4108126617
10/26/2019,9255.325785,4122381531
10/27/2019,9548.406813,4117082154
10/28/2019,9215.604626,4113343833
10/29/2019,9432.399178,4115726499
10/30/2019,9166.641501,4112152501
10/31/2019,9153.449946,4110755765
11/1/2019,9255.150683,4106770962
11/2/2019,9306.166864,4108044456
11/3/2019,9207.402809,4108003376
11/4/2019,9415.329115,4108044456
11/5/2019,9316.302104,4103936412
11/6/2019,9343.211981,4104799101
11/7/2019,9202.023005,4102293194
11/8/2019,8766.54272,4102375355
11/9/2019,8809.653154,4104593699
11/10/2019,9035.842571,4106770962
11/11/2019,8720.208357,4102416435
11/12/2019,8807.334112,4099828367
11/13/2019,8762.718192,4108003376
11/14/2019,8632.317631,4102087792
11/15/2019,8461.778034,4105620710
11/16/2019,8484.648728,4097815425
11/17/2019,8503.31011,4103936412
11/18/2019,8175.589026,4101923470
11/19/2019,8123.536046,4101923470
11/20/2019,8083.946739,4092844692
11/21/2019,7618.604873,4103895331
11/22/2019,7287.502403,4116260545
11/23/2019,7326.861609,4108044456
11/24/2019,6914.950509,4111248731
11/25/2019,7127.849409,4111618455
11/26/2019,7164.984145,4111782777
11/27/2019,7527.782549,4108044456
11/28/2019,7434.144688,4109317950
11/29/2019,7759.116675,4108044456
11/30/2019,7557.86296,4110755765
12/1/2019,7407.563683,4119012935
12/2/2019,7308.43764,4116219465
12/3/2019,7300.178685,4120368589
12/4/2019,7195.28828,4101882389
12/5/2019,7394.529123,4120368589
12/6/2019,7547.739344,4116260545
12/7/2019,7503.30201,4120368589
12/8/2019,7522.763865,4110755765
12/9/2019,7338.875381,4105127745
12/10/2019,7222.016395,4112152501
12/11/2019,7204.080985,4092680370
12/12/2019,7189.391682,4103977492
12/13/2019,7253.090309,4103936412
12/14/2019,7065.918819,4112563305
12/15/2019,7112.190266,4108044456
12/16/2019,6879.444774,4096583012
12/17/2019,6613.908648,4103936412
12/18/2019,7286.785584,4116137304
12/19/2019,7150.632897,4108044456
12/20/2019,7192.9602,4108044456
12/21/2019,7144.473009,4103936412
12/22/2019,7513.955824,4108290939
12/23/2019,7318.714458,4113179512
12/24/2019,7256.663023,4104141814
12/25/2019,7191.944284,4096459771
12/26/2019,7195.410676,4100115930
12/27/2019,7245.331547,4106894204
12/28/2019,7302.032637,4103320205
12/29/2019,7387.359189,4095966805
12/30/2019,7218.72037,4099869448
12/31/2019,7171.074995,4087545314
1/1/2020,7176.374137,4097774345
1/2/2020,6945.793938,4091817680
1/3/2020,7330.785361,4099417563
1/4/2020,7349.682545,4100937539
1/5/2020,7353.236759,4100567815
1/6/2020,7763.221304,4625593626
1/7/2020,8162.705082,4616342439
1/8/2020,8045.252611,4601840633
1/9/2020,7816.444266,4609679440
1/10/2020,8192.252782,4633371938
1/11/2020,8022.095619,4619725052
1/12/2020,8175.899118,4626419058
1/13/2020,8107.890505,4626265088
1/14/2020,8829.108051,4631308171
1/15/2020,8815.061173,4633024246
1/16/2020,8719.506087,4627754190
1/17/2020,8898.188272,4633040402
1/18/2020,8908.933696,4646481998
1/19/2020,8702.652507,4627979540
1/20/2020,8631.634801,4637161211
1/21/2020,8723.71314,4637725047
1/22/2020,8660.945897,4631365003
1/23/2020,8389.268917,4627651109
1/24/2020,8426.62477,4633082679
1/25/2020,8329.51715,4637725047
1/26/2020,8594.545107,4635032473
1/27/2020,8893.78388,4636332336
1/28/2020,9389.297227,4643110193
1/29/2020,9283.619468,4637678623
1/30/2020,9503.304139,4625887010
1/31/2020,9333.535406,4645709919
2/1/2020,9379.927137,4641996025
2/2/2020,9325.98865,4633082679
2/3/2020,9286.294525,4633082679
2/4/2020,9165.496529,4624679994
2/5/2020,9611.91844,4637725047
2/6/2020,9757.516196,4635960947
2/7/2020,9810.727375,4632850561
2/8/2020,9907.492141,4647938255
2/9/2020,10167.88082,4646545545
2/10/2020,9852.956355,4644177937
2/11/2020,10271.12751,4661865357
2/12/2020,10354.3545,4642645956
2/13/2020,10241.93569,4644224361
2/14/2020,10370.4806,4648959576
2/15/2020,9909.160265,4646824087
2/16/2020,9933.989262,4644642174
2/17/2020,9703.996682,4639814112
2/18/2020,10185.27314,4654623264
2/19/2020,9604.380676,4646824087
2/20/2020,9610.501584,4647566866
2/21/2020,9698.613224,4650352286
2/22/2020,9673.072796,4649795202
2/23/2020,9978.452492,4657826497
2/24/2020,9666.110967,4639999807
2/25/2020,9307.112556,4638607096
2/26/2020,8785.296579,4638978486
2/27/2020,8812.389391,4637725047
2/28/2020,8707.845447,4651466454
2/29/2020,8531.473044,4643388735
3/1/2020,8530.636753,4637725047
3/2/2020,8919.654962,4642645956
3/3/2020,8758.99683,4644920716
3/4/2020,8763.433302,4647706137
3/5/2020,9071.151073,4647984679
3/6/2020,9158.462322,4655226772
3/7/2020,8903.822528,4648123950
3/8/2020,8040.870203,4646545545
3/9/2020,7929.215976,4643295887
3/10/2020,7888.822168,4642367414
3/11/2020,7937.838737,4646916934
3/12/2020,4876.595093,4702393225
3/13/2020,5638.958757,4689023207
3/14/2020,5183.581002,4633082679
3/15/2020,5355.752038,4630761495
3/16/2020,5034.767691,4656387364
3/17/2020,5346.703698,4661261849
3/18/2020,5417.103656,4656712329
3/19/2020,6195.389764,4659544173
3/20/2020,6222.43161,4640464043
3/21/2020,6212.560518,4645570648
3/22/2020,5832.375638,4644874292
3/23/2020,6501.379179,4664047270
3/24/2020,6771.767646,4658151463
3/25/2020,6697.257273,4650213015
3/26/2020,6764.065067,4659637021
3/27/2020,6386.665313,4647891831
3/28/2020,6262.125813,4652673470
3/29/2020,5879.910005,4639117757
3/30/2020,6403.842648,4653973333
3/31/2020,6426.954664,6181509425
4/1/2020,6656.463873,6182434339
4/2/2020,6799.716583,6166402494
4/3/2020,6742.117154,6175589975
4/4/2020,6875.754956,6179967902
4/5/2020,6779.874962,6172260284
4/6/2020,7347.687206,6372100706
4/7/2020,7203.478274,6361032509
4/8/2020,7369.715837,6366566607
4/9/2020,7297.879835,6369047410
4/10/2020,6876.616599,6371655433
4/11/2020,6891.547297,6373563743
4/12/2020,6908.336939,6373182081
4/13/2020,6862.202901,6380115607
4/14/2020,6879.131065,6369301851
4/15/2020,6626.33073,6371655433
4/16/2020,7112.717249,6370256006
4/17/2020,7036.347585,6370383227
4/18/2020,7261.014867,6371846264
4/19/2020,7131.371224,6368665748
4/20/2020,6844.309391,6374263457
4/21/2020,6856.938432,6376935090
4/22/2020,7131.544177,6370510447
4/23/2020,7478.180799,6367393542
4/24/2020,7511.295748,6368729358
4/25/2020,7552.892245,6364594687
4/26/2020,7704.307154,6368474917
4/27/2020,7793.074669,6379606724
4/28/2020,7766.22389,6373309302
4/29/2020,8785.300079,6365230790
4/30/2020,8636.032498,6369301851
5/1/2020,8850.690365,6370128785
5/2/2020,9005.068893,6369301851
5/3/2020,8909.367249,6367393542
5/4/2020,8888.296044,6377634804
5/5/2020,9033.749368,6371464602
5/6/2020,9157.57599,6366184945
5/7/2020,9997.71309,6376171766
5/8/2020,9840.179497,6372100706
5/9/2020,9574.422874,6364531077
5/10/2020,8745.135451,6362368326
5/11/2020,8580.843946,6374199846
5/12/2020,8825.932189,6367393542
5/13/2020,9319.390098,6373500133
5/14/2020,9788.362597,8807483314
5/15/2020,9311.071292,8794638132
5/16/2020,9389.652195,8802204472
5/17/2020,9667.691728,8798069379
5/18/2020,9726.16444,8797981399
5/19/2020,9780.638815,8801588607
5/20/2020,9515.396074,8797981399
5/21/2020,9060.037859,8787511696
5/22/2020,9169.725448,8798069379
5/23/2020,9180.590624,8798949186
5/24/2020,8724.294949,8790239098
5/25/2020,8899.815404,8791558808
5/26/2020,8845.921044,8798069379
5/27/2020,9206.642084,8801764569
5/28/2020,9572.484913,8804667932
5/29/2020,9427.876209,8798597264
5/30/2020,9691.687507,8801588607
5/31/2020,9451.562286,8789271310
6/1/2020,10177.60072,8806867449
6/2/2020,9529.468658,9193136938
6/3/2020,9665.026008,9192034379
6/4/2020,9797.930295,9186980984
6/5/2020,9627.264133,9187991663
6/6/2020,9674.183179,9188910462
6/7/2020,9754.679863,9198098453
6/8/2020,9780.848459,9194790776
6/9/2020,9779.030334,9200395451
6/10/2020,9894.048213,9196168975
6/11/2020,9275.260717,9178803671
6/12/2020,9465.744419,9184867745
6/13/2020,9472.092809,9185970304
